Company Name,Rating,Reviews,Industry,Location,Extra Locations
TCS,3.6,(99k),IT Services & Consulting,Bangalore / Bengaluru,+413 other locations
Accenture,3.7,(63.8k),IT Services & Consulting,Bangalore / Bengaluru,+228 other locations
Wipro,3.7,(57.7k),IT Services & Consulting,Bangalore / Bengaluru,+357 other locations
Cognizant,3.7,(54.8k),IT Services & Consulting,Hyderabad / Secunderabad,+212 other locations
Capgemini,3.7,(46.5k),IT Services & Consulting,Bangalore / Bengaluru,+175 other locations
HDFC Bank,3.9,(43.9k),Banking,Mumbai,+1711 other locations
Infosys,3.6,(43.2k),IT Services & Consulting,Bangalore / Bengaluru,+229 other locations
ICICI Bank,4.0,(42.2k),Banking,Mumbai,+1399 other locations
HCLTech,3.5,(39.9k),IT Services & Consulting,Chennai,+216 other locations
Tech Mahindra,3.5,(38.4k),IT Services & Consulting,Hyderabad / Secunderabad,+320 other locations
Genpact,3.7,(36.2k),IT Services & Consulting,Hyderabad / Secunderabad,+161 other locations
Teleperformance,3.9,(32.8k),BPO,Mumbai,+244 other locations
Concentrix Corporation,3.7,(28.6k),BPO,Bangalore / Bengaluru,+167 other locations
Axis Bank,3.7,(28.5k),Banking,Mumbai,+1433 other locations
Amazon,4.0,(27.4k),Internet,Bangalore / Bengaluru,+499 other locations
Jio,4.1,(25.9k),Telecom,Mumbai,+1506 other locations
iEnergizer,4.7,(25k),BPO,Noida,+45 other locations
Reliance Retail,3.9,(24.3k),Retail,Mumbai,+1101 other locations
IBM,4.0,(23.6k),IT Services & Consulting,Bangalore / Bengaluru,+157 other locations
LTIMindtree,3.7,(22.9k),IT Services & Consulting,Bangalore / Bengaluru,+135 other locations
HDB Financial Services,3.9,(22.4k),NBFC,Mumbai,+1040 other locations
Larsen & Toubro Limited,3.9,(20.3k),Engineering & Construction,Chennai,+711 other locations
Deloitte,3.7,(19.8k),Management Consulting,Hyderabad / Secunderabad,+169 other locations
Kotak Mahindra Bank,3.7,(19.3k),Banking,Mumbai,+651 other locations
Reliance Industries,4.0,(17.6k),Oil & Gas,Jamnagar,+765 other locations
BYJU'S,3.1,(16.4k),EdTech,Bangalore / Bengaluru,+321 other locations
Vodafone Idea,4.0,(16.3k),Telecom,Pune,+689 other locations
Bharti Airtel,3.9,(15.2k),Telecom,Gurgaon / Gurugram,+751 other locations
WNS,3.3,(13.2k),BPO,Pune,+57 other locations
Tata Motors,4.1,(13k),Automobile,Pune,+488 other locations
AU Small Finance Bank,4.2,(12.5k),Banking,Jaipur,+730 other locations
IndusInd Bank,3.5,(12.1k),Banking,Mumbai,+760 other locations
Ernst & Young,3.4,(12.1k),Management Consulting,Bangalore / Bengaluru,+121 other locations
IDFC FIRST Bank,3.9,(11.9k),Banking,Mumbai,+670 other locations
Flipkart,3.9,(11.6k),Internet,Bangalore / Bengaluru,+545 other locations
DXC Technology,3.7,(10.9k),IT Services & Consulting,Bangalore / Bengaluru,+127 other locations
Infosys BPM,3.6,(10.7k),BPO,Bangalore / Bengaluru,+87 other locations
Mahindra & Mahindra,4.1,(10.6k),Automobile,Pune,+533 other locations
PwC,3.3,(10.5k),Management Consulting,Bangalore / Bengaluru,+123 other locations
Bajaj Finserv,4.0,(10.5k),Financial Services,Pune,+1056 other locations
HDFC Life,3.9,(10.3k),Insurance,Mumbai,+646 other locations
Conneqt Business Solutions,3.6,(9.4k),BPO,Hyderabad / Secunderabad,+254 other locations
Mphasis,3.3,(9.1k),IT Services & Consulting,Bangalore / Bengaluru,+57 other locations
Bandhan Bank,3.7,(8.8k),Banking,Kolkata,+923 other locations
Yes Bank,3.7,(8.7k),Banking,Mumbai,+504 other locations
